vertex_id,y,z
543,-253.466,301.789
544,-253.467,306.834
545,-253.467,311.879
546,-253.468,316.924
547,-253.468,321.969
548,-253.469,327.014
549,-253.469,332.059
550,-253.470,337.103
551,-253.470,342.148
552,-253.471,347.193
553,-253.472,352.238
554,-253.472,357.283
555,-253.473,362.328
556,-253.473,367.373
557,-253.474,372.418
558,-253.474,377.462
559,-253.475,382.507
560,-253.475,387.552
561,-248.402,4.178
562,-248.403,9.223
563,-248.404,14.267
564,-248.405,19.312
565,-248.406,24.356
566,-248.406,29.400
567,-248.407,34.445
568,-248.408,39.489
569,-248.409,44.534
570,-248.410,49.578
571,-248.410,54.622
572,-248.411,59.667
573,-248.412,64.711
574,-248.413,69.756
575,-248.414,74.800
576,-248.415,79.844
577,-248.415,84.889
578,-248.416,89.933
579,-248.417,94.978
580,-248.418,100.022
581,-248.419,105.066
582,-248.419,110.111
583,-248.420,115.155
584,-248.421,120.200
585,-248.422,125.244
586,-248.423,130.288
587,-248.424,135.333
588,-248.424,140.377
589,-248.425,145.422
590,-248.426,150.466
591,-248.427,155.510
592,-248.428,160.555
593,-248.428,165.599
594,-248.429,170.644
595,-248.430,175.688
596,-248.431,180.732
597,-248.432,185.777
598,-248.433,190.821
599,-248.433,195.866
600,-248.434,200.910
601,-248.435,205.954
602,-248.436,210.999
603,-248.437,216.043
604,-248.438,221.088
605,-248.438,226.132
606,-248.439,231.176
607,-248.440,236.221
608,-248.441,241.265
609,-248.442,246.310
610,-248.442,251.354
611,-248.443,256.398
612,-248.444,261.443
613,-248.445,266.487
614,-248.446,271.532
615,-248.447,276.576
616,-248.447,281.620
617,-248.448,286.665
618,-248.449,291.709
619,-248.450,296.754
620,-248.451,301.798
621,-248.451,306.842
622,-248.452,311.887
623,-248.453,316.931
624,-248.454,321.976
625,-248.455,327.020
626,-248.456,332.064
627,-248.456,337.109
628,-248.457,342.153
629,-248.458,347.198
630,-248.459,352.242
631,-248.460,357.286
632,-248.460,362.331
633,-248.461,367.375
634,-248.462,372.420
635,-248.463,377.464
636,-248.464,382.508
637,-248.465,387.553
638,-243.371,4.216
639,-243.372,9.260
640,-243.373,14.304
641,-243.374,19.348
642,-243.375,24.391
643,-243.376,29.435
644,-243.377,34.479
645,-243.378,39.523
646,-243.379,44.567
647,-243.381,49.611
648,-243.382,54.655
649,-243.383,59.699
650,-243.384,64.743
651,-243.385,69.787
652,-243.386,74.831
653,-243.387,79.874
654,-243.388,84.918
655,-243.389,89.962
656,-243.390,95.006
657,-243.391,100.050
658,-243.393,105.094
659,-243.394,110.138
660,-243.395,115.182
661,-243.396,120.226
662,-243.397,125.270
663,-243.398,130.314
664,-243.399,135.358
665,-243.400,140.401
666,-243.401,145.445
667,-243.402,150.489
668,-243.404,155.533
669,-243.405,160.577
670,-243.406,165.621
671,-243.407,170.665
672,-243.408,175.709
673,-243.409,180.753
674,-243.410,185.797
675,-243.411,190.841
676,-243.412,195.884
677,-243.413,200.928
678,-243.414,205.972
679,-243.416,211.016
680,-243.417,216.060
681,-243.418,221.104
682,-243.419,226.148
683,-243.420,231.192
684,-243.421,236.236
685,-243.422,241.280
686,-243.423,246.324
687,-243.424,251.368
688,-243.425,256.411
689,-243.426,261.455
690,-243.428,266.499
691,-243.429,271.543
692,-243.430,276.587
693,-243.431,281.631
694,-243.432,286.675
695,-243.433,291.719
696,-243.434,296.763
697,-243.435,301.807
698,-243.436,306.851
699,-243.437,311.895
700,-243.439,316.938
701,-243.440,321.982
702,-243.441,327.026
703,-243.442,332.070
704,-243.443,337.114
705,-243.444,342.158
706,-243.445,347.202
707,-243.446,352.246
708,-243.447,357.290
709,-243.448,362.334
710,-243.449,367.378
